paper_id,sentence_id,sentence_text,head_start,head_end,head_entity,head_type,relation,tail_start,tail_end,tail_entity,tail_type,confidence
INTERSPEECH_2013_31_abs,0,"In this paper , we present a digital signal processor -LRB- DSP -RRB- implementation of real-time statistical voice conversion -LRB- VC -RRB- for silent speech enhancement and electrolaryngeal speech enhancement .",7,13,digital signal processor -LRB- DSP -RRB- implementation,Method,USED-FOR,15,21,real-time statistical voice conversion -LRB- VC -RRB-,Method,
INTERSPEECH_2013_31_abs,0,"In this paper , we present a digital signal processor -LRB- DSP -RRB- implementation of real-time statistical voice conversion -LRB- VC -RRB- for silent speech enhancement and electrolaryngeal speech enhancement .",15,21,real-time statistical voice conversion -LRB- VC -RRB-,Method,USED-FOR,23,25,silent speech enhancement,Task,
INTERSPEECH_2013_31_abs,0,"In this paper , we present a digital signal processor -LRB- DSP -RRB- implementation of real-time statistical voice conversion -LRB- VC -RRB- for silent speech enhancement and electrolaryngeal speech enhancement .",15,21,real-time statistical voice conversion -LRB- VC -RRB-,Method,USED-FOR,27,29,electrolaryngeal speech enhancement,Task,
INTERSPEECH_2013_31_abs,0,"In this paper , we present a digital signal processor -LRB- DSP -RRB- implementation of real-time statistical voice conversion -LRB- VC -RRB- for silent speech enhancement and electrolaryngeal speech enhancement .",23,25,silent speech enhancement,Task,CONJUNCTION,27,29,electrolaryngeal speech enhancement,Task,
INTERSPEECH_2013_31_abs,2,Electrolaryngeal speech is one of the typical types of alaryngeal speech produced by an alternative speaking method for laryngectomees .,59,60,Electrolaryngeal speech,Material,HYPONYM-OF,68,69,alaryngeal speech,Material,
INTERSPEECH_2013_31_abs,2,Electrolaryngeal speech is one of the typical types of alaryngeal speech produced by an alternative speaking method for laryngectomees .,74,75,speaking method,Method,USED-FOR,68,69,alaryngeal speech,Material,
INTERSPEECH_2013_31_abs,2,Electrolaryngeal speech is one of the typical types of alaryngeal speech produced by an alternative speaking method for laryngectomees .,74,75,speaking method,Method,USED-FOR,77,77,laryngectomees,OtherScientificTerm,
INTERSPEECH_2013_31_abs,3,"However , the sound quality of NAM and electrolaryngeal speech suffers from lack of naturalness .",82,83,sound quality,Metric,EVALUATE-FOR,85,88,NAM and electrolaryngeal speech,Material,
INTERSPEECH_2013_31_abs,4,"VC has proven to be one of the promising approaches to address this problem , and it has been successfully implemented on devices with sufficient computational resources .",117,117,devices,Generic,USED-FOR,111,111,it,Generic,
INTERSPEECH_2013_31_abs,4,"VC has proven to be one of the promising approaches to address this problem , and it has been successfully implemented on devices with sufficient computational resources .",119,121,sufficient computational resources,Material,FEATURE-OF,117,117,devices,Generic,
INTERSPEECH_2013_31_abs,5,An implementation on devices that are highly portable but have limited computational resources would greatly contribute to its practical use .,133,135,limited computational resources,Material,FEATURE-OF,126,126,devices,Generic,
INTERSPEECH_2013_31_abs,6,In this paper we further implement real-time VC on a DSP .,154,154,DSP,OtherScientificTerm,USED-FOR,150,151,real-time VC,Method,
INTERSPEECH_2013_31_abs,7,"To implement the two speech enhancement systems based on real-time VC , one from NAM to a whispered voice and the other from electrolaryngeal speech to a natural voice , we propose several methods for reducing computational cost while preserving conversion accuracy .",165,166,real-time VC,Method,USED-FOR,160,162,speech enhancement systems,Method,
INTERSPEECH_2013_31_abs,7,"To implement the two speech enhancement systems based on real-time VC , one from NAM to a whispered voice and the other from electrolaryngeal speech to a natural voice , we propose several methods for reducing computational cost while preserving conversion accuracy .",168,168,one,Generic,HYPONYM-OF,160,162,speech enhancement systems,Method,
INTERSPEECH_2013_31_abs,7,"To implement the two speech enhancement systems based on real-time VC , one from NAM to a whispered voice and the other from electrolaryngeal speech to a natural voice , we propose several methods for reducing computational cost while preserving conversion accuracy .",168,168,one,Generic,CONJUNCTION,177,177,other,Generic,
INTERSPEECH_2013_31_abs,7,"To implement the two speech enhancement systems based on real-time VC , one from NAM to a whispered voice and the other from electrolaryngeal speech to a natural voice , we propose several methods for reducing computational cost while preserving conversion accuracy .",177,177,other,Generic,HYPONYM-OF,160,162,speech enhancement systems,Method,
INTERSPEECH_2013_31_abs,7,"To implement the two speech enhancement systems based on real-time VC , one from NAM to a whispered voice and the other from electrolaryngeal speech to a natural voice , we propose several methods for reducing computational cost while preserving conversion accuracy .",192,193,computational cost,Metric,EVALUATE-FOR,189,189,methods,Generic,
INTERSPEECH_2013_31_abs,7,"To implement the two speech enhancement systems based on real-time VC , one from NAM to a whispered voice and the other from electrolaryngeal speech to a natural voice , we propose several methods for reducing computational cost while preserving conversion accuracy .",192,193,computational cost,Metric,CONJUNCTION,196,197,conversion accuracy,Metric,
INTERSPEECH_2013_31_abs,7,"To implement the two speech enhancement systems based on real-time VC , one from NAM to a whispered voice and the other from electrolaryngeal speech to a natural voice , we propose several methods for reducing computational cost while preserving conversion accuracy .",196,197,conversion accuracy,Metric,EVALUATE-FOR,189,189,methods,Generic,
INTERSPEECH_2013_31_abs,8,We conduct experimental evaluations and show that real-time VC is capable of running on a DSP with little degradation .,214,214,DSP,OtherScientificTerm,USED-FOR,206,207,real-time VC,Method,
I05-5008,0,We propose a method that automatically generates paraphrase sets from seed sentences to be used as reference sets in objective machine translation evaluation measures like BLEU and NIST .,3,3,method,Generic,USED-FOR,7,7,paraphrase,OtherScientificTerm,
I05-5008,0,We propose a method that automatically generates paraphrase sets from seed sentences to be used as reference sets in objective machine translation evaluation measures like BLEU and NIST .,7,7,paraphrase,OtherScientificTerm,USED-FOR,20,23,machine translation evaluation measures,Metric,
I05-5008,0,We propose a method that automatically generates paraphrase sets from seed sentences to be used as reference sets in objective machine translation evaluation measures like BLEU and NIST .,25,25,BLEU,Metric,HYPONYM-OF,20,23,machine translation evaluation measures,Metric,
I05-5008,0,We propose a method that automatically generates paraphrase sets from seed sentences to be used as reference sets in objective machine translation evaluation measures like BLEU and NIST .,25,25,BLEU,Metric,CONJUNCTION,27,27,NIST,Metric,
I05-5008,0,We propose a method that automatically generates paraphrase sets from seed sentences to be used as reference sets in objective machine translation evaluation measures like BLEU and NIST .,27,27,NIST,Metric,HYPONYM-OF,20,23,machine translation evaluation measures,Metric,
I05-5008,1,"We measured the quality of the paraphrases produced in an experiment , i.e. , -LRB- i -RRB- their grammaticality : at least 99 % correct sentences ; -LRB- ii -RRB- their equivalence in meaning : at least 96 % correct paraphrases either by meaning equivalence or entailment ; and , -LRB- iii -RRB- the amount of internal lexical and syntactical variation in a set of paraphrases : slightly superior to that of hand-produced sets .",60,62,equivalence in meaning,Metric,CONJUNCTION,47,47,grammaticality,Metric,
I05-5008,1,"We measured the quality of the paraphrases produced in an experiment , i.e. , -LRB- i -RRB- their grammaticality : at least 99 % correct sentences ; -LRB- ii -RRB- their equivalence in meaning : at least 96 % correct paraphrases either by meaning equivalence or entailment ; and , -LRB- iii -RRB- the amount of internal lexical and syntactical variation in a set of paraphrases : slightly superior to that of hand-produced sets .",72,73,meaning equivalence,Method,USED-FOR,69,69,paraphrases,OtherScientificTerm,
I05-5008,1,"We measured the quality of the paraphrases produced in an experiment , i.e. , -LRB- i -RRB- their grammaticality : at least 99 % correct sentences ; -LRB- ii -RRB- their equivalence in meaning : at least 96 % correct paraphrases either by meaning equivalence or entailment ; and , -LRB- iii -RRB- the amount of internal lexical and syntactical variation in a set of paraphrases : slightly superior to that of hand-produced sets .",72,73,meaning equivalence,Method,CONJUNCTION,75,75,entailment,Method,
I05-5008,1,"We measured the quality of the paraphrases produced in an experiment , i.e. , -LRB- i -RRB- their grammaticality : at least 99 % correct sentences ; -LRB- ii -RRB- their equivalence in meaning : at least 96 % correct paraphrases either by meaning equivalence or entailment ; and , -LRB- iii -RRB- the amount of internal lexical and syntactical variation in a set of paraphrases : slightly superior to that of hand-produced sets .",75,75,entailment,Method,USED-FOR,69,69,paraphrases,OtherScientificTerm,
I05-5008,1,"We measured the quality of the paraphrases produced in an experiment , i.e. , -LRB- i -RRB- their grammaticality : at least 99 % correct sentences ; -LRB- ii -RRB- their equivalence in meaning : at least 96 % correct paraphrases either by meaning equivalence or entailment ; and , -LRB- iii -RRB- the amount of internal lexical and syntactical variation in a set of paraphrases : slightly superior to that of hand-produced sets .",85,89,internal lexical and syntactical variation,Metric,CONJUNCTION,60,62,equivalence in meaning,Metric,
I05-5008,1,"We measured the quality of the paraphrases produced in an experiment , i.e. , -LRB- i -RRB- their grammaticality : at least 99 % correct sentences ; -LRB- ii -RRB- their equivalence in meaning : at least 96 % correct paraphrases either by meaning equivalence or entailment ; and , -LRB- iii -RRB- the amount of internal lexical and syntactical variation in a set of paraphrases : slightly superior to that of hand-produced sets .",94,94,paraphrases,OtherScientificTerm,COMPARE,101,102,hand-produced sets,OtherScientificTerm,
I05-5008,2,The paraphrase sets produced by this method thus seem adequate as reference sets to be used for MT evaluation .,110,110,method,Generic,USED-FOR,105,105,paraphrase,OtherScientificTerm,
C92-2068,0,Graph unification remains the most expensive part of unification-based grammar parsing .,0,1,Graph unification,Task,PART-OF,8,10,unification-based grammar parsing,Task,
C92-2068,1,We focus on one speed-up element in the design of unification algorithms : avoidance of copying of unmodified subgraphs .,16,17,speed-up element,Method,PART-OF,22,23,unification algorithms,Method,
C92-2068,2,We propose a method of attaining such a design through a method of structure-sharing which avoids log -LRB- d -RRB- overheads often associated with structure-sharing of graphs without any use of costly dependency pointers .,45,45,structure-sharing,Method,USED-FOR,35,35,method,Generic,
C92-2068,3,The proposed scheme eliminates redundant copying while maintaining the quasi-destructive scheme 's ability to avoid over copying and early copying combined with its ability to handle cyclic structures without algorithmic additions .,69,69,scheme,Generic,USED-FOR,93,94,cyclic structures,OtherScientificTerm,
C92-2068,3,The proposed scheme eliminates redundant copying while maintaining the quasi-destructive scheme 's ability to avoid over copying and early copying combined with its ability to handle cyclic structures without algorithmic additions .,76,79,quasi-destructive scheme 's ability,OtherScientificTerm,FEATURE-OF,69,69,scheme,Generic,
C92-2068,3,The proposed scheme eliminates redundant copying while maintaining the quasi-destructive scheme 's ability to avoid over copying and early copying combined with its ability to handle cyclic structures without algorithmic additions .,82,83,over copying,OtherScientificTerm,CONJUNCTION,85,86,early copying,OtherScientificTerm,
A97-1052,0,We describe a novel technique and implemented system for constructing a subcategorization dictionary from textual corpora .,7,7,system,Generic,USED-FOR,11,12,subcategorization dictionary,OtherScientificTerm,
A97-1052,0,We describe a novel technique and implemented system for constructing a subcategorization dictionary from textual corpora .,14,15,textual corpora,Material,USED-FOR,7,7,system,Generic,
A97-1052,3,We also demonstrate that a subcategorization dictionary built with the system improves the accuracy of a parser by an appreciable amount,86,86,system,Generic,USED-FOR,81,82,subcategorization dictionary,OtherScientificTerm,
A97-1052,3,We also demonstrate that a subcategorization dictionary built with the system improves the accuracy of a parser by an appreciable amount,89,89,accuracy,Metric,EVALUATE-FOR,92,92,parser,Method,
A97-1052,3,We also demonstrate that a subcategorization dictionary built with the system improves the accuracy of a parser by an appreciable amount,92,92,parser,Method,EVALUATE-FOR,81,82,subcategorization dictionary,OtherScientificTerm,
CVPR_2006_21_abs,2,"A number of powerful registration criteria have been developed in the last decade , most prominently the criterion of maximum mutual information .",49,51,maximum mutual information,Metric,HYPONYM-OF,34,35,registration criteria,Metric,
CVPR_2006_21_abs,3,"Although this criterion provides for good registration results in many applications , it remains a purely low-level criterion .",69,70,low-level criterion,Metric,FEATURE-OF,65,65,it,Generic,
CVPR_2006_21_abs,5,"In this paper , we will develop a Bayesian framework that allows to impose statistically learned prior knowledge about the joint intensity distribution into image registration methods .",106,107,Bayesian framework,Method,USED-FOR,122,124,image registration methods,Method,
CVPR_2006_21_abs,5,"In this paper , we will develop a Bayesian framework that allows to impose statistically learned prior knowledge about the joint intensity distribution into image registration methods .",112,115,statistically learned prior knowledge,OtherScientificTerm,USED-FOR,122,124,image registration methods,Method,
CVPR_2006_21_abs,5,"In this paper , we will develop a Bayesian framework that allows to impose statistically learned prior knowledge about the joint intensity distribution into image registration methods .",118,120,joint intensity distribution,OtherScientificTerm,FEATURE-OF,112,115,statistically learned prior knowledge,OtherScientificTerm,
CVPR_2006_21_abs,6,The prior is given by a kernel density estimate on the space of joint intensity distributions computed from a representative set of pre-registered image pairs .,132,134,kernel density estimate,Method,USED-FOR,127,127,prior,Generic,
CVPR_2006_21_abs,6,The prior is given by a kernel density estimate on the space of joint intensity distributions computed from a representative set of pre-registered image pairs .,132,134,kernel density estimate,Method,USED-FOR,139,141,joint intensity distributions,OtherScientificTerm,
CVPR_2006_21_abs,6,The prior is given by a kernel density estimate on the space of joint intensity distributions computed from a representative set of pre-registered image pairs .,148,150,pre-registered image pairs,Material,USED-FOR,139,141,joint intensity distributions,OtherScientificTerm,
CVPR_2006_21_abs,8,Experimental results demonstrate that the resulting registration process is more robust to missing low-level information as it favors intensity correspondences statistically consistent with the learned intensity distributions .,175,176,registration process,Method,USED-FOR,181,183,missing low-level information,OtherScientificTerm,
CVPR_2006_21_abs,8,Experimental results demonstrate that the resulting registration process is more robust to missing low-level information as it favors intensity correspondences statistically consistent with the learned intensity distributions .,185,185,it,OtherScientificTerm,USED-FOR,187,188,intensity correspondences,OtherScientificTerm,
ICCV_2013_36_abs,1,"We present a method for synthesizing complex , photo-realistic facade images , from a single example .",22,22,method,Generic,USED-FOR,24,29,"synthesizing complex , photo-realistic facade images",Task,
ICCV_2013_36_abs,2,"After parsing the example image into its semantic components , a tiling for it is generated .",47,47,tiling,OtherScientificTerm,USED-FOR,43,44,semantic components,Method,
ICCV_2013_36_abs,3,"Novel tilings can then be created , yielding facade textures with different dimensions or with occluded parts inpainted .",68,70,occluded parts inpainted,OtherScientificTerm,FEATURE-OF,61,62,facade textures,OtherScientificTerm,
ICCV_2013_36_abs,4,"A genetic algorithm guides the novel facades as well as inpainted parts to be consistent with the example , both in terms of their overall structure and their detailed textures .",73,74,genetic algorithm,Generic,USED-FOR,78,78,facades,OtherScientificTerm,
ICCV_2013_36_abs,4,"A genetic algorithm guides the novel facades as well as inpainted parts to be consistent with the example , both in terms of their overall structure and their detailed textures .",73,74,genetic algorithm,Generic,USED-FOR,82,83,inpainted parts,OtherScientificTerm,
ICCV_2013_36_abs,5,Promising results for multiple standard datasets -- in particular for the different building styles they contain -- demonstrate the potential of the method .,106,108,multiple standard datasets,Generic,EVALUATE-FOR,125,125,method,Generic,
N06-4001,0,We introduce a new interactive corpus exploration tool called InfoMagnets .,9,9,InfoMagnets,Method,HYPONYM-OF,4,7,interactive corpus exploration tool,Method,
N06-4001,1,InfoMagnets aims at making exploratory corpus analysis accessible to researchers who are not experts in text mining .,11,11,InfoMagnets,Method,USED-FOR,15,17,exploratory corpus analysis,Task,
N06-4001,2,"As evidence of its usefulness and usability , it has been used successfully in a research context to uncover relationships between language and behavioral patterns in two distinct domains : tutorial dialogue -LRB- Kumar et al. , submitted -RRB- and on-line communities -LRB- Arguello et al. , 2006 -RRB- .",37,37,it,Generic,USED-FOR,57,57,domains,Generic,
N06-4001,2,"As evidence of its usefulness and usability , it has been used successfully in a research context to uncover relationships between language and behavioral patterns in two distinct domains : tutorial dialogue -LRB- Kumar et al. , submitted -RRB- and on-line communities -LRB- Arguello et al. , 2006 -RRB- .",59,60,tutorial dialogue,Material,HYPONYM-OF,57,57,domains,Generic,
N06-4001,2,"As evidence of its usefulness and usability , it has been used successfully in a research context to uncover relationships between language and behavioral patterns in two distinct domains : tutorial dialogue -LRB- Kumar et al. , submitted -RRB- and on-line communities -LRB- Arguello et al. , 2006 -RRB- .",59,60,tutorial dialogue,Material,CONJUNCTION,69,70,on-line communities,Material,
N06-4001,2,"As evidence of its usefulness and usability , it has been used successfully in a research context to uncover relationships between language and behavioral patterns in two distinct domains : tutorial dialogue -LRB- Kumar et al. , submitted -RRB- and on-line communities -LRB- Arguello et al. , 2006 -RRB- .",69,70,on-line communities,Material,HYPONYM-OF,57,57,domains,Generic,
N06-4001,3,"As an educational tool , it has been used as part of a unit on protocol analysis in an Educational Research Methods course .",81,82,educational tool,Method,USED-FOR,94,95,protocol analysis,Task,
N03-2003,0,Sources of training data suitable for language modeling of conversational speech are limited .,9,10,conversational speech,Material,USED-FOR,6,7,language modeling,Method,
N03-2003,1,"In this paper , we show how training data can be supplemented with text from the web filtered to match the style and/or topic of the target recognition task , but also that it is possible to get bigger performance gains from the data by using class-dependent interpolation of N-grams .",60,63,class-dependent interpolation of N-grams,Method,USED-FOR,41,42,recognition task,Task,
