head_entity,head_type,relation,tail_entity,tail_type,support_count,paper_count,papers,example_sentence
inter-frame lip motion,OtherScientificTerm,FEATURE-OF,fish twisting,OtherScientificTerm,1,1,CVPR_2003_18_abs,Experiments show that the learned tracker performs much better than existing trackers on the tracking of complex non-rigid motions such as fish twisting with self-occlusion and large inter-frame lip motion .
joint intensity distribution,OtherScientificTerm,FEATURE-OF,statistically learned prior knowledge,OtherScientificTerm,1,1,CVPR_2006_21_abs,"In this paper , we will develop a Bayesian framework that allows to impose statistically learned prior knowledge about the joint intensity distribution into image registration methods ."
limited computational resources,Material,FEATURE-OF,devices,Generic,1,1,INTERSPEECH_2013_31_abs,An implementation on devices that are highly portable but have limited computational resources would greatly contribute to its practical use .
low dimensional manifold,OtherScientificTerm,FEATURE-OF,parameterized object state,OtherScientificTerm,1,1,CVPR_2003_18_abs,The basic assumption is that the parameterized object state lies on a low dimensional manifold and can be learned from training data .
low-level criterion,Metric,FEATURE-OF,it,Generic,1,1,CVPR_2006_21_abs,"Although this criterion provides for good registration results in many applications , it remains a purely low-level criterion ."
occluded parts inpainted,OtherScientificTerm,FEATURE-OF,facade textures,OtherScientificTerm,1,1,ICCV_2013_36_abs,"Novel tilings can then be created , yielding facade textures with different dimensions or with occluded parts inpainted ."
quasi-destructive scheme 's ability,OtherScientificTerm,FEATURE-OF,scheme,Generic,1,1,C92-2068,The proposed scheme eliminates redundant copying while maintaining the quasi-destructive scheme 's ability to avoid over copying and early copying combined with its ability to handle cyclic structures without algorithmic additions .
self-occlusion,OtherScientificTerm,FEATURE-OF,fish twisting,OtherScientificTerm,1,1,CVPR_2003_18_abs,Experiments show that the learned tracker performs much better than existing trackers on the tracking of complex non-rigid motions such as fish twisting with self-occlusion and large inter-frame lip motion .
sufficient computational resources,Material,FEATURE-OF,devices,Generic,1,1,INTERSPEECH_2013_31_abs,"VC has proven to be one of the promising approaches to address this problem , and it has been successfully implemented on devices with sufficient computational resources ."
BLEU,Metric,HYPONYM-OF,machine translation evaluation measures,Metric,1,1,I05-5008,We propose a method that automatically generates paraphrase sets from seed sentences to be used as reference sets in objective machine translation evaluation measures like BLEU and NIST .
Electrolaryngeal speech,Material,HYPONYM-OF,alaryngeal speech,Material,1,1,INTERSPEECH_2013_31_abs,Electrolaryngeal speech is one of the typical types of alaryngeal speech produced by an alternative speaking method for laryngectomees .
fish twisting,OtherScientificTerm,HYPONYM-OF,complex non-rigid motions,OtherScientificTerm,1,1,CVPR_2003_18_abs,Experiments show that the learned tracker performs much better than existing trackers on the tracking of complex non-rigid motions such as fish twisting with self-occlusion and large inter-frame lip motion .
French,Material,HYPONYM-OF,languages,Material,1,1,J87-1003,"The agreement in question involves number in nouns and reflexive pronouns and is syntactic rather than semantic in nature because grammatical number in English , like grammatical gender in languages such as French , is partly arbitrary ."
InfoMagnets,Method,HYPONYM-OF,interactive corpus exploration tool,Method,1,1,N06-4001,We introduce a new interactive corpus exploration tool called InfoMagnets .
maximum mutual information,Metric,HYPONYM-OF,registration criteria,Metric,1,1,CVPR_2006_21_abs,"A number of powerful registration criteria have been developed in the last decade , most prominently the criterion of maximum mutual information ."
NIST,Metric,HYPONYM-OF,machine translation evaluation measures,Metric,1,1,I05-5008,We propose a method that automatically generates paraphrase sets from seed sentences to be used as reference sets in objective machine translation evaluation measures like BLEU and NIST .
on-line communities,Material,HYPONYM-OF,domains,Generic,1,1,N06-4001,"As evidence of its usefulness and usability , it has been used successfully in a research context to uncover relationships between language and behavioral patterns in two distinct domains : tutorial dialogue -LRB- Kumar et al. , submitted -RRB- and on-line communities -LRB- Arguello et al. , 2006 -RRB- ."
one,Generic,HYPONYM-OF,speech enhancement systems,Method,1,1,INTERSPEECH_2013_31_abs,"To implement the two speech enhancement systems based on real-time VC , one from NAM to a whispered voice and the other from electrolaryngeal speech to a natural voice , we propose several methods for reducing computational cost while preserving conversion accuracy ."
other,Generic,HYPONYM-OF,speech enhancement systems,Method,1,1,INTERSPEECH_2013_31_abs,"To implement the two speech enhancement systems based on real-time VC , one from NAM to a whispered voice and the other from electrolaryngeal speech to a natural voice , we propose several methods for reducing computational cost while preserving conversion accuracy ."
tutorial dialogue,Material,HYPONYM-OF,domains,Generic,1,1,N06-4001,"As evidence of its usefulness and usability , it has been used successfully in a research context to uncover relationships between language and behavioral patterns in two distinct domains : tutorial dialogue -LRB- Kumar et al. , submitted -RRB- and on-line communities -LRB- Arguello et al. , 2006 -RRB- ."
Graph unification,Task,PART-OF,unification-based grammar parsing,Task,1,1,C92-2068,Graph unification remains the most expensive part of unification-based grammar parsing .
intrinsic object structure,OtherScientificTerm,PART-OF,particle-filter style tracker,Method,1,1,CVPR_2003_18_abs,Thirdly the learned intrinsic object structure is integrated into a particle-filter style tracker .
speed-up element,Method,PART-OF,unification algorithms,Method,1,1,C92-2068,We focus on one speed-up element in the design of unification algorithms : avoidance of copying of unmodified subgraphs .
Bayesian framework,Method,USED-FOR,image registration methods,Method,1,1,CVPR_2006_21_abs,"In this paper , we will develop a Bayesian framework that allows to impose statistically learned prior knowledge about the joint intensity distribution into image registration methods ."
class-dependent interpolation of N-grams,Method,USED-FOR,recognition task,Task,1,1,N03-2003,"In this paper , we show how training data can be supplemented with text from the web filtered to match the style and/or topic of the target recognition task , but also that it is possible to get bigger performance gains from the data by using class-dependent interpolation of N-grams ."
conversational speech,Material,USED-FOR,language modeling,Method,1,1,N03-2003,Sources of training data suitable for language modeling of conversational speech are limited .
devices,Generic,USED-FOR,it,Generic,1,1,INTERSPEECH_2013_31_abs,"VC has proven to be one of the promising approaches to address this problem , and it has been successfully implemented on devices with sufficient computational resources ."
digital signal processor -LRB- DSP -RRB- implementation,Method,USED-FOR,real-time statistical voice conversion -LRB- VC -RRB-,Method,1,1,INTERSPEECH_2013_31_abs,"In this paper , we present a digital signal processor -LRB- DSP -RRB- implementation of real-time statistical voice conversion -LRB- VC -RRB- for silent speech enhancement and electrolaryngeal speech enhancement ."
dimensionality reduction and density estimation algorithm,Method,USED-FOR,unsupervised learning of object intrinsic representation,Task,1,1,CVPR_2003_18_abs,"Based on this assumption , firstly we derived the dimensionality reduction and density estimation algorithm for unsupervised learning of object intrinsic representation , the obtained non-rigid part of object state reduces even to 2 dimensions ."
dynamical model,Method,USED-FOR,particle-filter style tracker,Method,1,1,CVPR_2003_18_abs,We will show that this intrinsic object representation has some interesting properties and based on which the newly derived dynamical model makes particle-filter style tracker more robust and reliable .
educational tool,Method,USED-FOR,protocol analysis,Task,1,1,N06-4001,"As an educational tool , it has been used as part of a unit on protocol analysis in an Educational Research Methods course ."
entailment,Method,USED-FOR,paraphrases,OtherScientificTerm,1,1,I05-5008,"We measured the quality of the paraphrases produced in an experiment , i.e. , -LRB- i -RRB- their grammaticality : at least 99 % correct sentences ; -LRB- ii -RRB- their equivalence in meaning : at least 96 % correct paraphrases either by meaning equivalence or entailment ; and , -LRB- iii -RRB- the amount of internal lexical and syntactical variation in a set of paraphrases : slightly superior to that of hand-produced sets ."
genetic algorithm,Generic,USED-FOR,facades,OtherScientificTerm,1,1,ICCV_2013_36_abs,"A genetic algorithm guides the novel facades as well as inpainted parts to be consistent with the example , both in terms of their overall structure and their detailed textures ."
genetic algorithm,Generic,USED-FOR,inpainted parts,OtherScientificTerm,1,1,ICCV_2013_36_abs,"A genetic algorithm guides the novel facades as well as inpainted parts to be consistent with the example , both in terms of their overall structure and their detailed textures ."
InfoMagnets,Method,USED-FOR,exploratory corpus analysis,Task,1,1,N06-4001,InfoMagnets aims at making exploratory corpus analysis accessible to researchers who are not experts in text mining .
intrinsic object structure,OtherScientificTerm,USED-FOR,robust visual tracking,Task,1,1,CVPR_2003_18_abs,"In this paper , a novel method to learn the intrinsic object structure for robust visual tracking is proposed ."
intrinsic representation,Method,USED-FOR,dynamical model,Method,1,1,CVPR_2003_18_abs,Secondly the dynamical model is derived and trained based on this intrinsic representation .
it,Generic,USED-FOR,domains,Generic,1,1,N06-4001,"As evidence of its usefulness and usability , it has been used successfully in a research context to uncover relationships between language and behavioral patterns in two distinct domains : tutorial dialogue -LRB- Kumar et al. , submitted -RRB- and on-line communities -LRB- Arguello et al. , 2006 -RRB- ."
it,OtherScientificTerm,USED-FOR,intensity correspondences,OtherScientificTerm,1,1,CVPR_2006_21_abs,Experimental results demonstrate that the resulting registration process is more robust to missing low-level information as it favors intensity correspondences statistically consistent with the learned intensity distributions .
kernel density estimate,Method,USED-FOR,joint intensity distributions,OtherScientificTerm,1,1,CVPR_2006_21_abs,The prior is given by a kernel density estimate on the space of joint intensity distributions computed from a representative set of pre-registered image pairs .
kernel density estimate,Method,USED-FOR,prior,Generic,1,1,CVPR_2006_21_abs,The prior is given by a kernel density estimate on the space of joint intensity distributions computed from a representative set of pre-registered image pairs .
meaning equivalence,Method,USED-FOR,paraphrases,OtherScientificTerm,1,1,I05-5008,"We measured the quality of the paraphrases produced in an experiment , i.e. , -LRB- i -RRB- their grammaticality : at least 99 % correct sentences ; -LRB- ii -RRB- their equivalence in meaning : at least 96 % correct paraphrases either by meaning equivalence or entailment ; and , -LRB- iii -RRB- the amount of internal lexical and syntactical variation in a set of paraphrases : slightly superior to that of hand-produced sets ."
method,Method,USED-FOR,intrinsic object structure,OtherScientificTerm,1,1,CVPR_2003_18_abs,"In this paper , a novel method to learn the intrinsic object structure for robust visual tracking is proposed ."
method,Generic,USED-FOR,"synthesizing complex , photo-realistic facade images",Task,1,1,ICCV_2013_36_abs,"We present a method for synthesizing complex , photo-realistic facade images , from a single example ."
method,Generic,USED-FOR,tracking problems,Task,1,1,CVPR_2003_18_abs,The proposed method also has the potential to solve other type of tracking problems .
paraphrase,OtherScientificTerm,USED-FOR,machine translation evaluation measures,Metric,1,1,I05-5008,We propose a method that automatically generates paraphrase sets from seed sentences to be used as reference sets in objective machine translation evaluation measures like BLEU and NIST .
pre-registered image pairs,Material,USED-FOR,joint intensity distributions,OtherScientificTerm,1,1,CVPR_2006_21_abs,The prior is given by a kernel density estimate on the space of joint intensity distributions computed from a representative set of pre-registered image pairs .
real-time statistical voice conversion -LRB- VC -RRB-,Method,USED-FOR,electrolaryngeal speech enhancement,Task,1,1,INTERSPEECH_2013_31_abs,"In this paper , we present a digital signal processor -LRB- DSP -RRB- implementation of real-time statistical voice conversion -LRB- VC -RRB- for silent speech enhancement and electrolaryngeal speech enhancement ."
real-time statistical voice conversion -LRB- VC -RRB-,Method,USED-FOR,silent speech enhancement,Task,1,1,INTERSPEECH_2013_31_abs,"In this paper , we present a digital signal processor -LRB- DSP -RRB- implementation of real-time statistical voice conversion -LRB- VC -RRB- for silent speech enhancement and electrolaryngeal speech enhancement ."
real-time VC,Method,USED-FOR,speech enhancement systems,Method,1,1,INTERSPEECH_2013_31_abs,"To implement the two speech enhancement systems based on real-time VC , one from NAM to a whispered voice and the other from electrolaryngeal speech to a natural voice , we propose several methods for reducing computational cost while preserving conversion accuracy ."
registration process,Method,USED-FOR,missing low-level information,OtherScientificTerm,1,1,CVPR_2006_21_abs,Experimental results demonstrate that the resulting registration process is more robust to missing low-level information as it favors intensity correspondences statistically consistent with the learned intensity distributions .
scheme,Generic,USED-FOR,cyclic structures,OtherScientificTerm,1,1,C92-2068,The proposed scheme eliminates redundant copying while maintaining the quasi-destructive scheme 's ability to avoid over copying and early copying combined with its ability to handle cyclic structures without algorithmic additions .
speaking method,Method,USED-FOR,alaryngeal speech,Material,1,1,INTERSPEECH_2013_31_abs,Electrolaryngeal speech is one of the typical types of alaryngeal speech produced by an alternative speaking method for laryngectomees .
speaking method,Method,USED-FOR,laryngectomees,OtherScientificTerm,1,1,INTERSPEECH_2013_31_abs,Electrolaryngeal speech is one of the typical types of alaryngeal speech produced by an alternative speaking method for laryngectomees .
statistically learned prior knowledge,OtherScientificTerm,USED-FOR,image registration methods,Method,1,1,CVPR_2006_21_abs,"In this paper , we will develop a Bayesian framework that allows to impose statistically learned prior knowledge about the joint intensity distribution into image registration methods ."
structure-sharing,Method,USED-FOR,method,Generic,1,1,C92-2068,We propose a method of attaining such a design through a method of structure-sharing which avoids log -LRB- d -RRB- overheads often associated with structure-sharing of graphs without any use of costly dependency pointers .
textual corpora,Material,USED-FOR,system,Generic,1,1,A97-1052,We describe a novel technique and implemented system for constructing a subcategorization dictionary from textual corpora .
tiling,OtherScientificTerm,USED-FOR,semantic components,Method,1,1,ICCV_2013_36_abs,"After parsing the example image into its semantic components , a tiling for it is generated ."
tracker,Generic,USED-FOR,tracking of complex non-rigid motions,Task,1,1,CVPR_2003_18_abs,Experiments show that the learned tracker performs much better than existing trackers on the tracking of complex non-rigid motions such as fish twisting with self-occlusion and large inter-frame lip motion .
trackers,Generic,USED-FOR,tracking of complex non-rigid motions,Task,1,1,CVPR_2003_18_abs,Experiments show that the learned tracker performs much better than existing trackers on the tracking of complex non-rigid motions such as fish twisting with self-occlusion and large inter-frame lip motion .
