source,target,relation,support_count,paper_count,papers,width,color,title
2bcb9d4bcd72,5cafd7b7f2bc,CONJUNCTION,1,1,INTERSPEECH_2013_31_abs,2.386,#72B7B2,"silent speech enhancement --CONJUNCTION--> electrolaryngeal speech enhancement<br>support_count=1<br>paper_count=1<br>papers=INTERSPEECH_2013_31_abs<br>example=In this paper , we present a digital signal processor -LRB- DSP -RRB- implementation of real-time statistical voice conversion -LRB- VC -RRB- for silent speech enhancement and electrolaryngeal speech enhancement ."
e771d4218b6e,dab7453ab60c,CONJUNCTION,1,1,N06-4001,2.386,#72B7B2,"tutorial dialogue --CONJUNCTION--> on-line communities<br>support_count=1<br>paper_count=1<br>papers=N06-4001<br>example=As evidence of its usefulness and usability , it has been used successfully in a research context to uncover relationships between language and behavioral patterns in two distinct domains : tutorial dialogue -LRB- Kumar et al. , submitted -RRB- and on-line communities -LRB- Arguello et al. , 2006 -RRB- ."
a4ce944f2300,1049ca477c8c,EVALUATE-FOR,1,1,A97-1052,2.386,#FF9DA6,accuracy --EVALUATE-FOR--> parser<br>support_count=1<br>paper_count=1<br>papers=A97-1052<br>example=We also demonstrate that a subcategorization dictionary built with the system improves the accuracy of a parser by an appreciable amount
5ed51c4ec8c4,dd669307a669,EVALUATE-FOR,1,1,INTERSPEECH_2013_31_abs,2.386,#FF9DA6,"computational cost --EVALUATE-FOR--> methods<br>support_count=1<br>paper_count=1<br>papers=INTERSPEECH_2013_31_abs<br>example=To implement the two speech enhancement systems based on real-time VC , one from NAM to a whispered voice and the other from electrolaryngeal speech to a natural voice , we propose several methods for reducing computational cost while preserving conversion accuracy ."
ed5938cc654a,dd669307a669,EVALUATE-FOR,1,1,INTERSPEECH_2013_31_abs,2.386,#FF9DA6,"conversion accuracy --EVALUATE-FOR--> methods<br>support_count=1<br>paper_count=1<br>papers=INTERSPEECH_2013_31_abs<br>example=To implement the two speech enhancement systems based on real-time VC , one from NAM to a whispered voice and the other from electrolaryngeal speech to a natural voice , we propose several methods for reducing computational cost while preserving conversion accuracy ."
1679b9dbdd9f,63b63813de30,EVALUATE-FOR,1,1,ICCV_2013_36_abs,2.386,#FF9DA6,multiple standard datasets --EVALUATE-FOR--> method<br>support_count=1<br>paper_count=1<br>papers=ICCV_2013_36_abs<br>example=Promising results for multiple standard datasets -- in particular for the different building styles they contain -- demonstrate the potential of the method .
1049ca477c8c,41116e29f265,EVALUATE-FOR,1,1,A97-1052,2.386,#FF9DA6,parser --EVALUATE-FOR--> subcategorization dictionary<br>support_count=1<br>paper_count=1<br>papers=A97-1052<br>example=We also demonstrate that a subcategorization dictionary built with the system improves the accuracy of a parser by an appreciable amount
e3848289cd64,0a0ec5f27a47,EVALUATE-FOR,1,1,INTERSPEECH_2013_31_abs,2.386,#FF9DA6,"sound quality --EVALUATE-FOR--> NAM and electrolaryngeal speech<br>support_count=1<br>paper_count=1<br>papers=INTERSPEECH_2013_31_abs<br>example=However , the sound quality of NAM and electrolaryngeal speech suffers from lack of naturalness ."
3635b14da96d,2781dde847a4,FEATURE-OF,1,1,J87-1003,2.386,#F58518,"grammatical gender --FEATURE-OF--> languages<br>support_count=1<br>paper_count=1<br>papers=J87-1003<br>example=The agreement in question involves number in nouns and reflexive pronouns and is syntactic rather than semantic in nature because grammatical number in English , like grammatical gender in languages such as French , is partly arbitrary ."
e663cf40826c,f5923a533e15,FEATURE-OF,1,1,CVPR_2003_18_abs,2.386,#F58518,inter-frame lip motion --FEATURE-OF--> fish twisting<br>support_count=1<br>paper_count=1<br>papers=CVPR_2003_18_abs<br>example=Experiments show that the learned tracker performs much better than existing trackers on the tracking of complex non-rigid motions such as fish twisting with self-occlusion and large inter-frame lip motion .
02a7e6ec1541,f856290e656c,FEATURE-OF,1,1,CVPR_2006_21_abs,2.386,#F58518,"joint intensity distribution --FEATURE-OF--> statistically learned prior knowledge<br>support_count=1<br>paper_count=1<br>papers=CVPR_2006_21_abs<br>example=In this paper , we will develop a Bayesian framework that allows to impose statistically learned prior knowledge about the joint intensity distribution into image registration methods ."
681089f5888c,ea43579483fc,FEATURE-OF,1,1,INTERSPEECH_2013_31_abs,2.386,#F58518,limited computational resources --FEATURE-OF--> devices<br>support_count=1<br>paper_count=1<br>papers=INTERSPEECH_2013_31_abs<br>example=An implementation on devices that are highly portable but have limited computational resources would greatly contribute to its practical use .
f02526a7aad4,07f3895ab3ea,FEATURE-OF,1,1,CVPR_2003_18_abs,2.386,#F58518,low dimensional manifold --FEATURE-OF--> parameterized object state<br>support_count=1<br>paper_count=1<br>papers=CVPR_2003_18_abs<br>example=The basic assumption is that the parameterized object state lies on a low dimensional manifold and can be learned from training data .
9afeaa63d450,f3fff57d6783,FEATURE-OF,1,1,CVPR_2006_21_abs,2.386,#F58518,"low-level criterion --FEATURE-OF--> it<br>support_count=1<br>paper_count=1<br>papers=CVPR_2006_21_abs<br>example=Although this criterion provides for good registration results in many applications , it remains a purely low-level criterion ."
3b3f2a4b5286,604b758c245e,FEATURE-OF,1,1,ICCV_2013_36_abs,2.386,#F58518,"occluded parts inpainted --FEATURE-OF--> facade textures<br>support_count=1<br>paper_count=1<br>papers=ICCV_2013_36_abs<br>example=Novel tilings can then be created , yielding facade textures with different dimensions or with occluded parts inpainted ."
00de01e41008,1b0ebc27e4a5,FEATURE-OF,1,1,C92-2068,2.386,#F58518,quasi-destructive scheme 's ability --FEATURE-OF--> scheme<br>support_count=1<br>paper_count=1<br>papers=C92-2068<br>example=The proposed scheme eliminates redundant copying while maintaining the quasi-destructive scheme 's ability to avoid over copying and early copying combined with its ability to handle cyclic structures without algorithmic additions .
f84d6b442627,f5923a533e15,FEATURE-OF,1,1,CVPR_2003_18_abs,2.386,#F58518,self-occlusion --FEATURE-OF--> fish twisting<br>support_count=1<br>paper_count=1<br>papers=CVPR_2003_18_abs<br>example=Experiments show that the learned tracker performs much better than existing trackers on the tracking of complex non-rigid motions such as fish twisting with self-occlusion and large inter-frame lip motion .
893a3a60963c,ea43579483fc,FEATURE-OF,1,1,INTERSPEECH_2013_31_abs,2.386,#F58518,"sufficient computational resources --FEATURE-OF--> devices<br>support_count=1<br>paper_count=1<br>papers=INTERSPEECH_2013_31_abs<br>example=VC has proven to be one of the promising approaches to address this problem , and it has been successfully implemented on devices with sufficient computational resources ."
e539b76849f0,ecf9a3bb595a,HYPONYM-OF,1,1,I05-5008,2.386,#54A24B,BLEU --HYPONYM-OF--> machine translation evaluation measures<br>support_count=1<br>paper_count=1<br>papers=I05-5008<br>example=We propose a method that automatically generates paraphrase sets from seed sentences to be used as reference sets in objective machine translation evaluation measures like BLEU and NIST .
fec583b43274,43ccde70b0f1,HYPONYM-OF,1,1,INTERSPEECH_2013_31_abs,2.386,#54A24B,Electrolaryngeal speech --HYPONYM-OF--> alaryngeal speech<br>support_count=1<br>paper_count=1<br>papers=INTERSPEECH_2013_31_abs<br>example=Electrolaryngeal speech is one of the typical types of alaryngeal speech produced by an alternative speaking method for laryngectomees .
f5923a533e15,4270d60777ba,HYPONYM-OF,1,1,CVPR_2003_18_abs,2.386,#54A24B,fish twisting --HYPONYM-OF--> complex non-rigid motions<br>support_count=1<br>paper_count=1<br>papers=CVPR_2003_18_abs<br>example=Experiments show that the learned tracker performs much better than existing trackers on the tracking of complex non-rigid motions such as fish twisting with self-occlusion and large inter-frame lip motion .
757281be9e70,2781dde847a4,HYPONYM-OF,1,1,J87-1003,2.386,#54A24B,"French --HYPONYM-OF--> languages<br>support_count=1<br>paper_count=1<br>papers=J87-1003<br>example=The agreement in question involves number in nouns and reflexive pronouns and is syntactic rather than semantic in nature because grammatical number in English , like grammatical gender in languages such as French , is partly arbitrary ."
742e5fb9023f,b1501522f7ed,HYPONYM-OF,1,1,N06-4001,2.386,#54A24B,InfoMagnets --HYPONYM-OF--> interactive corpus exploration tool<br>support_count=1<br>paper_count=1<br>papers=N06-4001<br>example=We introduce a new interactive corpus exploration tool called InfoMagnets .
8ac58992f529,5879a235b86b,HYPONYM-OF,1,1,CVPR_2006_21_abs,2.386,#54A24B,"maximum mutual information --HYPONYM-OF--> registration criteria<br>support_count=1<br>paper_count=1<br>papers=CVPR_2006_21_abs<br>example=A number of powerful registration criteria have been developed in the last decade , most prominently the criterion of maximum mutual information ."
266854221e7e,ecf9a3bb595a,HYPONYM-OF,1,1,I05-5008,2.386,#54A24B,NIST --HYPONYM-OF--> machine translation evaluation measures<br>support_count=1<br>paper_count=1<br>papers=I05-5008<br>example=We propose a method that automatically generates paraphrase sets from seed sentences to be used as reference sets in objective machine translation evaluation measures like BLEU and NIST .
dab7453ab60c,66ef2c1c125e,HYPONYM-OF,1,1,N06-4001,2.386,#54A24B,"on-line communities --HYPONYM-OF--> domains<br>support_count=1<br>paper_count=1<br>papers=N06-4001<br>example=As evidence of its usefulness and usability , it has been used successfully in a research context to uncover relationships between language and behavioral patterns in two distinct domains : tutorial dialogue -LRB- Kumar et al. , submitted -RRB- and on-line communities -LRB- Arguello et al. , 2006 -RRB- ."
2eb246d30d63,8abeed823ba1,HYPONYM-OF,1,1,INTERSPEECH_2013_31_abs,2.386,#54A24B,"one --HYPONYM-OF--> speech enhancement systems<br>support_count=1<br>paper_count=1<br>papers=INTERSPEECH_2013_31_abs<br>example=To implement the two speech enhancement systems based on real-time VC , one from NAM to a whispered voice and the other from electrolaryngeal speech to a natural voice , we propose several methods for reducing computational cost while preserving conversion accuracy ."
84917f0d5123,8abeed823ba1,HYPONYM-OF,1,1,INTERSPEECH_2013_31_abs,2.386,#54A24B,"other --HYPONYM-OF--> speech enhancement systems<br>support_count=1<br>paper_count=1<br>papers=INTERSPEECH_2013_31_abs<br>example=To implement the two speech enhancement systems based on real-time VC , one from NAM to a whispered voice and the other from electrolaryngeal speech to a natural voice , we propose several methods for reducing computational cost while preserving conversion accuracy ."
e771d4218b6e,66ef2c1c125e,HYPONYM-OF,1,1,N06-4001,2.386,#54A24B,"tutorial dialogue --HYPONYM-OF--> domains<br>support_count=1<br>paper_count=1<br>papers=N06-4001<br>example=As evidence of its usefulness and usability , it has been used successfully in a research context to uncover relationships between language and behavioral patterns in two distinct domains : tutorial dialogue -LRB- Kumar et al. , submitted -RRB- and on-line communities -LRB- Arguello et al. , 2006 -RRB- ."
58caca10ba42,f341b2f59359,PART-OF,1,1,C92-2068,2.386,#E45756,Graph unification --PART-OF--> unification-based grammar parsing<br>support_count=1<br>paper_count=1<br>papers=C92-2068<br>example=Graph unification remains the most expensive part of unification-based grammar parsing .
1a79867a172a,7444ae795251,PART-OF,1,1,CVPR_2003_18_abs,2.386,#E45756,intrinsic object structure --PART-OF--> particle-filter style tracker<br>support_count=1<br>paper_count=1<br>papers=CVPR_2003_18_abs<br>example=Thirdly the learned intrinsic object structure is integrated into a particle-filter style tracker .
7fe2673abdd4,29cca56ea800,PART-OF,1,1,C92-2068,2.386,#E45756,speed-up element --PART-OF--> unification algorithms<br>support_count=1<br>paper_count=1<br>papers=C92-2068<br>example=We focus on one speed-up element in the design of unification algorithms : avoidance of copying of unmodified subgraphs .
cdb3f9ad3970,1d4f4e34b3e7,USED-FOR,1,1,CVPR_2006_21_abs,2.386,#4C78A8,"Bayesian framework --USED-FOR--> image registration methods<br>support_count=1<br>paper_count=1<br>papers=CVPR_2006_21_abs<br>example=In this paper , we will develop a Bayesian framework that allows to impose statistically learned prior knowledge about the joint intensity distribution into image registration methods ."
a01dab09d75d,4283b527a9c3,USED-FOR,1,1,N03-2003,2.386,#4C78A8,"class-dependent interpolation of N-grams --USED-FOR--> recognition task<br>support_count=1<br>paper_count=1<br>papers=N03-2003<br>example=In this paper , we show how training data can be supplemented with text from the web filtered to match the style and/or topic of the target recognition task , but also that it is possible to get bigger performance gains from the data by using class-dependent interpolation of N-grams ."
416a8a035ec3,ba6428eca37b,USED-FOR,1,1,N03-2003,2.386,#4C78A8,conversational speech --USED-FOR--> language modeling<br>support_count=1<br>paper_count=1<br>papers=N03-2003<br>example=Sources of training data suitable for language modeling of conversational speech are limited .
ea43579483fc,f3fff57d6783,USED-FOR,1,1,INTERSPEECH_2013_31_abs,2.386,#4C78A8,"devices --USED-FOR--> it<br>support_count=1<br>paper_count=1<br>papers=INTERSPEECH_2013_31_abs<br>example=VC has proven to be one of the promising approaches to address this problem , and it has been successfully implemented on devices with sufficient computational resources ."
8aaf95855057,f1289277e3a8,USED-FOR,1,1,INTERSPEECH_2013_31_abs,2.386,#4C78A8,"digital signal processor -LRB- DSP -RRB- implementation --USED-FOR--> real-time statistical voice conversion -LRB- VC -RRB-<br>support_count=1<br>paper_count=1<br>papers=INTERSPEECH_2013_31_abs<br>example=In this paper , we present a digital signal processor -LRB- DSP -RRB- implementation of real-time statistical voice conversion -LRB- VC -RRB- for silent speech enhancement and electrolaryngeal speech enhancement ."
263bd55b021b,7d323395a013,USED-FOR,1,1,CVPR_2003_18_abs,2.386,#4C78A8,"dimensionality reduction and density estimation algorithm --USED-FOR--> unsupervised learning of object intrinsic representation<br>support_count=1<br>paper_count=1<br>papers=CVPR_2003_18_abs<br>example=Based on this assumption , firstly we derived the dimensionality reduction and density estimation algorithm for unsupervised learning of object intrinsic representation , the obtained non-rigid part of object state reduces even to 2 dimensions ."
68dffd6d21a6,7444ae795251,USED-FOR,1,1,CVPR_2003_18_abs,2.386,#4C78A8,dynamical model --USED-FOR--> particle-filter style tracker<br>support_count=1<br>paper_count=1<br>papers=CVPR_2003_18_abs<br>example=We will show that this intrinsic object representation has some interesting properties and based on which the newly derived dynamical model makes particle-filter style tracker more robust and reliable .
ac5aa92a65eb,cca8507a3d62,USED-FOR,1,1,N06-4001,2.386,#4C78A8,"educational tool --USED-FOR--> protocol analysis<br>support_count=1<br>paper_count=1<br>papers=N06-4001<br>example=As an educational tool , it has been used as part of a unit on protocol analysis in an Educational Research Methods course ."
3b7adbef408f,58df2a30e2cb,USED-FOR,1,1,I05-5008,2.386,#4C78A8,"entailment --USED-FOR--> paraphrases<br>support_count=1<br>paper_count=1<br>papers=I05-5008<br>example=We measured the quality of the paraphrases produced in an experiment , i.e. , -LRB- i -RRB- their grammaticality : at least 99 % correct sentences ; -LRB- ii -RRB- their equivalence in meaning : at least 96 % correct paraphrases either by meaning equivalence or entailment ; and , -LRB- iii -RRB- the amount of internal lexical and syntactical variation in a set of paraphrases : slightly superior to that of hand-produced sets ."
3f9b6345a354,72c79ff10f9d,USED-FOR,1,1,ICCV_2013_36_abs,2.386,#4C78A8,"genetic algorithm --USED-FOR--> facades<br>support_count=1<br>paper_count=1<br>papers=ICCV_2013_36_abs<br>example=A genetic algorithm guides the novel facades as well as inpainted parts to be consistent with the example , both in terms of their overall structure and their detailed textures ."
3f9b6345a354,8e33a7b735f6,USED-FOR,1,1,ICCV_2013_36_abs,2.386,#4C78A8,"genetic algorithm --USED-FOR--> inpainted parts<br>support_count=1<br>paper_count=1<br>papers=ICCV_2013_36_abs<br>example=A genetic algorithm guides the novel facades as well as inpainted parts to be consistent with the example , both in terms of their overall structure and their detailed textures ."
742e5fb9023f,dbd726f39a6f,USED-FOR,1,1,N06-4001,2.386,#4C78A8,InfoMagnets --USED-FOR--> exploratory corpus analysis<br>support_count=1<br>paper_count=1<br>papers=N06-4001<br>example=InfoMagnets aims at making exploratory corpus analysis accessible to researchers who are not experts in text mining .
1a79867a172a,142655817aec,USED-FOR,1,1,CVPR_2003_18_abs,2.386,#4C78A8,"intrinsic object structure --USED-FOR--> robust visual tracking<br>support_count=1<br>paper_count=1<br>papers=CVPR_2003_18_abs<br>example=In this paper , a novel method to learn the intrinsic object structure for robust visual tracking is proposed ."
9fe55655cb41,68dffd6d21a6,USED-FOR,1,1,CVPR_2003_18_abs,2.386,#4C78A8,intrinsic representation --USED-FOR--> dynamical model<br>support_count=1<br>paper_count=1<br>papers=CVPR_2003_18_abs<br>example=Secondly the dynamical model is derived and trained based on this intrinsic representation .
f3fff57d6783,66ef2c1c125e,USED-FOR,1,1,N06-4001,2.386,#4C78A8,"it --USED-FOR--> domains<br>support_count=1<br>paper_count=1<br>papers=N06-4001<br>example=As evidence of its usefulness and usability , it has been used successfully in a research context to uncover relationships between language and behavioral patterns in two distinct domains : tutorial dialogue -LRB- Kumar et al. , submitted -RRB- and on-line communities -LRB- Arguello et al. , 2006 -RRB- ."
183c4394a909,9fcc602cdedd,USED-FOR,1,1,CVPR_2006_21_abs,2.386,#4C78A8,it --USED-FOR--> intensity correspondences<br>support_count=1<br>paper_count=1<br>papers=CVPR_2006_21_abs<br>example=Experimental results demonstrate that the resulting registration process is more robust to missing low-level information as it favors intensity correspondences statistically consistent with the learned intensity distributions .
fc609d7630ba,deb703953f64,USED-FOR,1,1,CVPR_2006_21_abs,2.386,#4C78A8,kernel density estimate --USED-FOR--> joint intensity distributions<br>support_count=1<br>paper_count=1<br>papers=CVPR_2006_21_abs<br>example=The prior is given by a kernel density estimate on the space of joint intensity distributions computed from a representative set of pre-registered image pairs .
fc609d7630ba,3e9f9b2c64bd,USED-FOR,1,1,CVPR_2006_21_abs,2.386,#4C78A8,kernel density estimate --USED-FOR--> prior<br>support_count=1<br>paper_count=1<br>papers=CVPR_2006_21_abs<br>example=The prior is given by a kernel density estimate on the space of joint intensity distributions computed from a representative set of pre-registered image pairs .
db31d38471d2,58df2a30e2cb,USED-FOR,1,1,I05-5008,2.386,#4C78A8,"meaning equivalence --USED-FOR--> paraphrases<br>support_count=1<br>paper_count=1<br>papers=I05-5008<br>example=We measured the quality of the paraphrases produced in an experiment , i.e. , -LRB- i -RRB- their grammaticality : at least 99 % correct sentences ; -LRB- ii -RRB- their equivalence in meaning : at least 96 % correct paraphrases either by meaning equivalence or entailment ; and , -LRB- iii -RRB- the amount of internal lexical and syntactical variation in a set of paraphrases : slightly superior to that of hand-produced sets ."
e104f84319a1,1a79867a172a,USED-FOR,1,1,CVPR_2003_18_abs,2.386,#4C78A8,"method --USED-FOR--> intrinsic object structure<br>support_count=1<br>paper_count=1<br>papers=CVPR_2003_18_abs<br>example=In this paper , a novel method to learn the intrinsic object structure for robust visual tracking is proposed ."
63b63813de30,e7306022cdd0,USED-FOR,1,1,ICCV_2013_36_abs,2.386,#4C78A8,"method --USED-FOR--> synthesizing complex , photo-realistic facade images<br>support_count=1<br>paper_count=1<br>papers=ICCV_2013_36_abs<br>example=We present a method for synthesizing complex , photo-realistic facade images , from a single example ."
63b63813de30,39ee5629a37e,USED-FOR,1,1,CVPR_2003_18_abs,2.386,#4C78A8,method --USED-FOR--> tracking problems<br>support_count=1<br>paper_count=1<br>papers=CVPR_2003_18_abs<br>example=The proposed method also has the potential to solve other type of tracking problems .
f4b11679df3e,ecf9a3bb595a,USED-FOR,1,1,I05-5008,2.386,#4C78A8,paraphrase --USED-FOR--> machine translation evaluation measures<br>support_count=1<br>paper_count=1<br>papers=I05-5008<br>example=We propose a method that automatically generates paraphrase sets from seed sentences to be used as reference sets in objective machine translation evaluation measures like BLEU and NIST .
b55bc0b864da,deb703953f64,USED-FOR,1,1,CVPR_2006_21_abs,2.386,#4C78A8,pre-registered image pairs --USED-FOR--> joint intensity distributions<br>support_count=1<br>paper_count=1<br>papers=CVPR_2006_21_abs<br>example=The prior is given by a kernel density estimate on the space of joint intensity distributions computed from a representative set of pre-registered image pairs .
f1289277e3a8,5cafd7b7f2bc,USED-FOR,1,1,INTERSPEECH_2013_31_abs,2.386,#4C78A8,"real-time statistical voice conversion -LRB- VC -RRB- --USED-FOR--> electrolaryngeal speech enhancement<br>support_count=1<br>paper_count=1<br>papers=INTERSPEECH_2013_31_abs<br>example=In this paper , we present a digital signal processor -LRB- DSP -RRB- implementation of real-time statistical voice conversion -LRB- VC -RRB- for silent speech enhancement and electrolaryngeal speech enhancement ."
f1289277e3a8,2bcb9d4bcd72,USED-FOR,1,1,INTERSPEECH_2013_31_abs,2.386,#4C78A8,"real-time statistical voice conversion -LRB- VC -RRB- --USED-FOR--> silent speech enhancement<br>support_count=1<br>paper_count=1<br>papers=INTERSPEECH_2013_31_abs<br>example=In this paper , we present a digital signal processor -LRB- DSP -RRB- implementation of real-time statistical voice conversion -LRB- VC -RRB- for silent speech enhancement and electrolaryngeal speech enhancement ."
03a405a863b6,8abeed823ba1,USED-FOR,1,1,INTERSPEECH_2013_31_abs,2.386,#4C78A8,"real-time VC --USED-FOR--> speech enhancement systems<br>support_count=1<br>paper_count=1<br>papers=INTERSPEECH_2013_31_abs<br>example=To implement the two speech enhancement systems based on real-time VC , one from NAM to a whispered voice and the other from electrolaryngeal speech to a natural voice , we propose several methods for reducing computational cost while preserving conversion accuracy ."
b414cca31cd8,04a1065ef0d2,USED-FOR,1,1,CVPR_2006_21_abs,2.386,#4C78A8,registration process --USED-FOR--> missing low-level information<br>support_count=1<br>paper_count=1<br>papers=CVPR_2006_21_abs<br>example=Experimental results demonstrate that the resulting registration process is more robust to missing low-level information as it favors intensity correspondences statistically consistent with the learned intensity distributions .
1b0ebc27e4a5,1b4a2112db01,USED-FOR,1,1,C92-2068,2.386,#4C78A8,scheme --USED-FOR--> cyclic structures<br>support_count=1<br>paper_count=1<br>papers=C92-2068<br>example=The proposed scheme eliminates redundant copying while maintaining the quasi-destructive scheme 's ability to avoid over copying and early copying combined with its ability to handle cyclic structures without algorithmic additions .
31332066a0c0,43ccde70b0f1,USED-FOR,1,1,INTERSPEECH_2013_31_abs,2.386,#4C78A8,speaking method --USED-FOR--> alaryngeal speech<br>support_count=1<br>paper_count=1<br>papers=INTERSPEECH_2013_31_abs<br>example=Electrolaryngeal speech is one of the typical types of alaryngeal speech produced by an alternative speaking method for laryngectomees .
31332066a0c0,78eff9a31791,USED-FOR,1,1,INTERSPEECH_2013_31_abs,2.386,#4C78A8,speaking method --USED-FOR--> laryngectomees<br>support_count=1<br>paper_count=1<br>papers=INTERSPEECH_2013_31_abs<br>example=Electrolaryngeal speech is one of the typical types of alaryngeal speech produced by an alternative speaking method for laryngectomees .
f856290e656c,1d4f4e34b3e7,USED-FOR,1,1,CVPR_2006_21_abs,2.386,#4C78A8,"statistically learned prior knowledge --USED-FOR--> image registration methods<br>support_count=1<br>paper_count=1<br>papers=CVPR_2006_21_abs<br>example=In this paper , we will develop a Bayesian framework that allows to impose statistically learned prior knowledge about the joint intensity distribution into image registration methods ."
